"Name","DisplayName","Enabled","Direction","Action","Profile","InterfaceType"
"NETDIS-UPnPHost-Out-TCP","Network Discovery (UPnP-Out)","True","Outbound","Allow","Public",
"WFDPRINT-SPOOL-Out-Active","Wi-Fi Direct Spooler Use (Out)","True","Outbound","Allow","Public",
"RemoteAssistance-Out-TCP","Remote Assistance (TCP-Out)","False","Outbound","Allow","Public",
"NETDIS-SSDPSrv-Out-UDP-Active","Network Discovery (SSDP-Out)","True","Outbound","Allow","Private",
"NETDIS-WSDEVNT-Out-TCP-Active","Network Discovery (WSD Events-Out)","True","Outbound","Allow","Private",
"Microsoft-Windows-PeerDist-HostedServer-Out","BranchCache Hosted Cache Server(HTTP-Out)","False","Outbound","Allow","Any",
"RemoteEventLogSvc-NP-In-TCP-NoScope","Remote Event Log Management (NP-In)","False","Inbound","Allow","Domain",
"PlayTo-QWave-Out-TCP-PlayToScope","Cast to Device functionality (qWave-TCP-Out)","True","Outbound","Allow","Private, Public",
"WFDPRINT-SPOOL-In-Active","Wi-Fi Direct Spooler Use (In)","True","Inbound","Allow","Public",
"RemoteTask-In-TCP-NoScope","Remote Scheduled Tasks Management (RPC)","False","Inbound","Allow","Domain",
"RemoteAssistance-Out-TCP-Active","Remote Assistance (TCP-Out)","True","Outbound","Allow","Domain, Private",
"MSDTC-Out-TCP","Distributed Transaction Coordinator (TCP-Out)","False","Outbound","Allow","Private, Public",
"RRAS-L2TP-Out-UDP","Routing and Remote Access (L2TP-Out)","False","Outbound","Allow","Any",
"CoreNet-ICMP6-PTB-Out","Core Networking - Packet Too Big (ICMPv6-Out)","True","Outbound","Allow","Any",
"CDPSvc-Out-UDP","Connected Devices Platform (UDP-Out)","True","Outbound","Allow","Domain, Private",
"NETDIS-NB_Name-Out-UDP","Network Discovery (NB-Name-Out)","True","Outbound","Allow","Public",
"NETDIS-NB_Datagram-Out-UDP","Network Discovery (NB-Datagram-Out)","True","Outbound","Allow","Public",
"PNRPMNRS-PNRP-In-UDP","Windows Collaboration Computer Name Registration Service (PNRP-In)","False","Inbound","Allow","Any",
"Collab-P2PHost-WSD-In-UDP","Windows Peer to Peer Collaboration Foundation (WSD-In)","False","Inbound","Allow","Any",
"RemoteEventLogSvc-In-TCP","Remote Event Log Management (RPC)","False","Inbound","Allow","Private, Public",
"CoreNet-IPv6-In","Core Networking - IPv6 (IPv6-In)","True","Inbound","Allow","Any",
"CDPSvc-WFD-Out-TCP","Connected Devices Platform - Wi-Fi Direct Transport (TCP-Out)","True","Outbound","Allow","Public",
"NETDIS-LLMNR-In-UDP","Network Discovery (LLMNR-UDP-In)","True","Inbound","Allow","Domain, Public",
"RemoteEventLogSvc-NP-In-TCP","Remote Event Log Management (NP-In)","False","Inbound","Allow","Private, Public",
"RemoteDesktop-In-TCP-WS","Remote Desktop - (TCP-WS-In)","False","Inbound","Allow","Any",
"SNMPTRAP-In-UDP","SNMP Trap Service (UDP In)","False","Inbound","Allow","Private, Public",
"MDNS-Out-UDP-Domain-Active","mDNS (UDP-Out)","True","Outbound","Allow","Domain",
"DeliveryOptimization-UDP-In","Delivery Optimization (UDP-In)","True","Inbound","Allow","Any",
"Microsoft-Windows-PeerDist-WSD-In","BranchCache Peer Discovery (WSD-In)","False","Inbound","Allow","Any",
"PlayTo-In-UDP-LocalSubnetScope","Cast to Device streaming server (RTCP-Streaming-In)","True","Inbound","Allow","Private",
"CoreNet-ICMP6-PP-Out","Core Networking - Parameter Problem (ICMPv6-Out)","True","Outbound","Allow","Any",
"CoreNet-ICMP6-RA-In","Core Networking - Router Advertisement (ICMPv6-In)","True","Inbound","Allow","Any",
"CoreNet-ICMP4-DUFRAG-In","Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)","True","Inbound","Allow","Any",
"CoreNet-DHCP-In","Core Networking - Dynamic Host Configuration Protocol (DHCP-In)","True","Inbound","Allow","Any",
"MCX-HTTPSTR-In-TCP","Media Center Extenders - HTTP Streaming (TCP-In)","False","Inbound","Allow","Any",
"NETDIS-DAS-In-UDP-Active","Network Discovery (WSD-In)","True","Inbound","Allow","Private",
"RRAS-GRE-In","Routing and Remote Access (GRE-In)","False","Inbound","Allow","Any",
"TPMVSCMGR-RPCSS-In-TCP-NoScope","TPM Virtual Smart Card Management (DCOM-In)","False","Inbound","Allow","Domain",
"MCX-QWave-In-UDP","Media Center Extenders - qWave (UDP-In)","False","Inbound","Allow","Any",
"WPDMTP-Out-TCP","Wireless Portable Devices (TCP-Out)","False","Outbound","Allow","Private, Public",
"PlayTo-Out-UDP-PlayToScope","Cast to Device streaming server (RTP-Streaming-Out)","True","Outbound","Allow","Public",
